driver_id,vehicle_type,is_ev,status,rating,experience_months,home_zone_id,current_zone_id,daily_trip_target,battery_capacity_kwh,avg_daily_earnings,preferred_shift,join_date,city
DRV0001,Auto,False,active,4.4,24,Z058,Z036,20,,1003,morning,2022-01-11,Bangalore
DRV0002,Bike,False,active,3.8,4,Z129,Z155,15,,658,evening,2023-09-03,Bangalore
DRV0003,Bike,False,active,4.8,1,Z013,Z195,20,,697,afternoon,2023-12-02,Bangalore
DRV0004,Bike,False,active,4.0,4,Z102,Z025,26,,556,night,2023-09-03,Bangalore
DRV0005,Auto,False,active,4.3,11,Z097,Z021,20,,725,evening,2023-02-05,Bangalore
DRV0006,Auto,False,active,4.5,3,Z072,Z021,11,,732,evening,2023-10-03,Bangalore
DRV0007,EV Bike,True,active,3.8,11,Z187,Z069,22,3.6,535,morning,2023-02-05,Bangalore
DRV0008,Auto,False,active,3.9,13,Z177,Z143,20,,1036,morning,2022-12-07,Bangalore
DRV0009,Bike,False,active,4.0,17,Z054,Z146,25,,698,afternoon,2022-08-09,Bangalore
DRV0010,EV Auto,True,active,4.0,2,Z066,Z191,14,4.3,973,afternoon,2023-11-02,Bangalore
DRV0011,Bike,False,suspended,4.0,3,Z027,Z027,16,,837,morning,2023-10-03,Bangalore
DRV0012,Auto,False,active,4.0,44,Z163,Z120,18,,1119,evening,2021-01-01,Bangalore
DRV0013,Bike,False,inactive,4.5,7,Z197,Z197,25,,488,morning,2023-06-05,Bangalore
DRV0014,Bike,False,active,5.0,4,Z129,Z196,20,,763,afternoon,2023-09-03,Bangalore
DRV0015,Auto,False,active,4.5,2,Z199,Z042,19,,930,morning,2023-11-02,Bangalore
DRV0016,EV Auto,True,inactive,3.8,6,Z079,Z079,17,4.4,690,morning,2023-07-05,Bangalore
DRV0017,Auto,False,active,4.0,6,Z197,Z033,20,,1056,morning,2023-07-05,Bangalore
DRV0018,Auto,False,active,3.7,30,Z139,Z194,21,,1066,flexible,2021-07-15,Bangalore
DRV0019,Auto,False,active,3.9,1,Z034,Z064,11,,978,evening,2023-12-02,Bangalore
DRV0020,Bike,False,active,4.4,24,Z167,Z016,22,,826,morning,2022-01-11,Bangalore
DRV0021,Bike,False,active,3.9,36,Z035,Z186,30,,742,night,2021-01-16,Bangalore
DRV0022,Bike,False,active,3.6,2,Z111,Z106,29,,741,evening,2023-11-02,Bangalore
DRV0023,Auto,False,active,3.8,24,Z028,Z064,13,,876,morning,2022-01-11,Bangalore
DRV0024,Bike,False,active,4.5,12,Z020,Z114,18,,695,night,2023-01-06,Bangalore
DRV0025,EV Auto,True,inactive,4.3,26,Z043,Z043,11,4.2,902,flexible,2021-11-12,Bangalore
DRV0026,Bike,False,active,4.8,13,Z123,Z074,28,,705,evening,2022-12-07,Bangalore
DRV0027,Auto,False,active,3.2,1,Z023,Z149,21,,1003,morning,2023-12-02,Bangalore
DRV0028,Auto,False,inactive,3.6,13,Z023,Z023,12,,1090,morning,2022-12-07,Bangalore
DRV0029,EV Bike,True,active,4.1,10,Z146,Z064,13,3.8,742,evening,2023-03-07,Bangalore
DRV0030,Bike,False,active,3.9,2,Z083,Z062,23,,699,evening,2023-11-02,Bangalore
DRV0031,Auto,False,inactive,3.9,48,Z003,Z003,19,,1079,morning,2021-01-01,Bangalore
DRV0032,Bike,False,active,4.4,37,Z018,Z063,26,,923,night,2021-01-01,Bangalore
DRV0033,Auto,False,active,4.0,41,Z168,Z136,20,,1166,afternoon,2021-01-01,Bangalore
DRV0034,Auto,False,inactive,4.7,41,Z033,Z033,21,,1126,afternoon,2021-01-01,Bangalore
DRV0035,Auto,False,active,3.9,5,Z168,Z068,14,,885,morning,2023-08-04,Bangalore
DRV0036,Bike,False,active,4.7,36,Z200,Z034,23,,744,evening,2021-01-16,Bangalore
DRV0037,Bike,False,active,4.2,10,Z190,Z039,16,,621,morning,2023-03-07,Bangalore
DRV0038,Bike,False,active,4.0,8,Z011,Z092,21,,605,morning,2023-05-06,Bangalore
DRV0039,EV Bike,True,inactive,4.1,14,Z166,Z166,25,4.5,768,night,2022-11-07,Bangalore
DRV0040,EV Bike,True,active,3.8,65,Z086,Z106,14,3.3,1143,morning,2021-01-01,Bangalore
DRV0041,Auto,False,active,3.4,7,Z090,Z079,13,,931,morning,2023-06-05,Bangalore
DRV0042,Bike,False,inactive,4.2,13,Z072,Z072,26,,613,evening,2022-12-07,Bangalore
DRV0043,EV Bike,True,active,4.1,3,Z068,Z046,13,3.4,701,evening,2023-10-03,Bangalore
DRV0044,Bike,False,active,4.3,5,Z103,Z148,21,,624,morning,2023-08-04,Bangalore
DRV0045,EV Auto,True,active,4.7,5,Z190,Z189,9,4.4,965,flexible,2023-08-04,Bangalore
DRV0046,Auto,False,active,3.9,19,Z073,Z130,20,,1161,afternoon,2022-06-10,Bangalore
DRV0047,Bike,False,active,4.4,2,Z102,Z174,20,,872,afternoon,2023-11-02,Bangalore
DRV0048,EV Bike,True,active,4.0,4,Z161,Z156,19,3.9,780,evening,2023-09-03,Bangalore
DRV0049,EV Bike,True,suspended,4.2,21,Z169,Z169,20,3.8,694,afternoon,2022-04-11,Bangalore
DRV0050,EV Bike,True,active,4.2,5,Z058,Z051,12,4.5,631,evening,2023-08-04,Bangalore
DRV0051,EV Bike,True,active,3.8,22,Z148,Z050,18,2.8,816,evening,2022-03-12,Bangalore
DRV0052,EV Bike,True,inactive,4.4,3,Z200,Z200,14,3.4,645,evening,2023-10-03,Bangalore
DRV0053,EV Auto,True,active,3.9,47,Z124,Z171,17,4.1,1046,flexible,2021-01-01,Bangalore
DRV0054,Bike,False,inactive,4.1,20,Z040,Z040,30,,766,night,2022-05-11,Bangalore
DRV0055,Bike,False,active,4.3,14,Z064,Z071,29,,826,morning,2022-11-07,Bangalore
DRV0056,Bike,False,inactive,4.1,41,Z039,Z039,22,,780,evening,2021-01-01,Bangalore
DRV0057,Bike,False,active,4.3,8,Z110,Z016,21,,733,flexible,2023-05-06,Bangalore
DRV0058,Bike,False,inactive,4.7,41,Z126,Z126,15,,700,flexible,2021-01-01,Bangalore
DRV0059,EV Auto,True,active,4.3,19,Z140,Z155,12,3.4,986,morning,2022-06-10,Bangalore
DRV0060,Bike,False,active,4.3,1,Z041,Z120,19,,706,flexible,2023-12-02,Bangalore
